ensemble,mIoU_majvote,accuracy_majvote,mIoU_oracle,accuracy_oracle
ensemble_0,0.43203213810920715,0.7516440749168396,0.43203213810920715,0.7516440749168396
ensemble_0_1,0.4169624447822571,0.75545334815979,0.5418060421943665,0.8241280913352966
ensemble_0_1_2,0.44836628437042236,0.7659013271331787,0.5902789831161499,0.850713312625885
ensemble_0_1_2_3,0.43450266122817993,0.7663906812667847,0.6181480884552002,0.8657048940658569
ensemble_0_1_2_3_4,0.440871000289917,0.7673863768577576,0.6408898234367371,0.8781071305274963
ensemble_0_1_2_3_4_5,0.4574851989746094,0.7743183970451355,0.6569345593452454,0.8843708634376526
ensemble_0_1_2_3_5,0.4560549855232239,0.7752525806427002,0.6384607553482056,0.8743695616722107
ensemble_0_1_2_4,0.42443832755088806,0.7574692368507385,0.6197411417961121,0.8676120042800903
ensemble_0_1_2_4_5,0.4519160985946655,0.7712408900260925,0.6401078701019287,0.8762444257736206
ensemble_0_1_2_5,0.44684237241744995,0.77068030834198,0.617212176322937,0.8635095953941345
ensemble_0_1_3,0.44688522815704346,0.7707208395004272,0.5810508728027344,0.8473498821258545
ensemble_0_1_3_4,0.4245206117630005,0.7636097073554993,0.6112914085388184,0.8651571869850159
ensemble_0_1_3_4_5,0.4510454535484314,0.77381432056427,0.6349201202392578,0.8746970891952515
ensemble_0_1_3_5,0.4444649815559387,0.7734177112579346,0.6119732856750488,0.8615321516990662
ensemble_0_1_4,0.439888596534729,0.7640271782875061,0.5836622714996338,0.8506259322166443
ensemble_0_1_4_5,0.4408079981803894,0.7694526314735413,0.6146537065505981,0.8644257187843323
ensemble_0_1_5,0.4624892771244049,0.7767662405967712,0.5854842662811279,0.8470172882080078
ensemble_0_2,0.3561404347419739,0.7015809416770935,0.5239776968955994,0.8136094808578491
ensemble_0_2_3,0.42395198345184326,0.7547079920768738,0.5745186805725098,0.8454189300537109
ensemble_0_2_3_4,0.40403756499290466,0.7485325932502747,0.606810450553894,0.8635030388832092
ensemble_0_2_3_4_5,0.4366176724433899,0.7647041082382202,0.6338391304016113,0.8745695352554321
ensemble_0_2_3_5,0.4310047924518585,0.7637895941734314,0.6106827259063721,0.8618867993354797
ensemble_0_2_4,0.40443897247314453,0.7368598580360413,0.5723779201507568,0.8443398475646973
ensemble_0_2_4_5,0.42073971033096313,0.754842221736908,0.6106611490249634,0.8625925779342651
ensemble_0_2_5,0.44164353609085083,0.7618250846862793,0.5797592997550964,0.8449119329452515
ensemble_0_3,0.37632712721824646,0.739285409450531,0.5162203311920166,0.81447434425354
ensemble_0_3_4,0.4097205698490143,0.7507771849632263,0.5641635656356812,0.8438364863395691
ensemble_0_3_4_5,0.42193031311035156,0.7615746855735779,0.606653094291687,0.862129807472229
ensemble_0_3_5,0.4437219202518463,0.7682999968528748,0.5770059823989868,0.8448056578636169
ensemble_0_4,0.3263739347457886,0.7037375569343567,0.5140368938446045,0.8132336735725403
ensemble_0_4_5,0.43501609563827515,0.7606105804443359,0.5778467655181885,0.8463537096977234
ensemble_0_5,0.41163092851638794,0.7524831891059875,0.5366549491882324,0.8207464814186096
ensemble_1,0.45582202076911926,0.7737074494361877,0.45582202076911926,0.7737074494361877
ensemble_1_2,0.36572909355163574,0.7115585803985596,0.5339948534965515,0.8213447332382202
ensemble_1_2_3,0.43173789978027344,0.7626825571060181,0.5797445178031921,0.8476012349128723
ensemble_1_2_3_4,0.40957534313201904,0.7540737390518188,0.6081594228744507,0.8639929294586182
ensemble_1_2_3_4_5,0.44138103723526,0.7685072422027588,0.6324458122253418,0.8735737204551697
ensemble_1_2_3_5,0.4364616870880127,0.7686493992805481,0.6107416152954102,0.861212432384491
ensemble_1_2_4,0.4117579460144043,0.7444945573806763,0.5746075510978699,0.8467392921447754
ensemble_1_2_4_5,0.42671942710876465,0.7600212693214417,0.6079453825950623,0.8614965677261353
